headline,abstract,desk,locations,word_count,snippet,source,subjects,url,section,date,type,id
Castro Says He May Trade More in Latin America,,Foreign Desk,"EUROPE, LATIN AMERICA, EUROPE, EAST, CUBA, BRAZIL",414,"LEAD: Cheered by his first visit to Brazil in 30 years, Fidel Castro said today that Latin American markets could make up for the loss of trading partners in Eastern Europe.",The New York Times,"INTERNATIONAL RELATIONS, INTERNATIONAL TRADE AND WORLD MARKET, TRAVEL, PERSONAL",http://www.nytimes.com/1990/03/17/world/castro-says-he-may-trade-more-in-latin-america.html,World,3/17/1990,News,4fd1b8a58eb7c8105d6e0bbc
Salvadorans Consider Sweeping Amnesty for Military,,Foreign Desk,EL SALVADOR,744,LEAD: The National Assembly here is considering a sweeping petition to pardon current and former military people accused or convicted of common crimes and human rights violations.,The New York Times,"UNITED STATES INTERNATIONAL RELATIONS, ARMAMENT, DEFENSE AND MILITARY FORCES, CIVIL WAR AND GUERRILLA WARFARE, FREEDOM AND HUMAN RIGHTS, AMNESTIES",http://www.nytimes.com/1990/03/18/world/salvadorans-consider-sweeping-amnesty-for-military.html,World; Washington,3/18/1990,News,4fd193458eb7c8105d69d220
WHEN BRITISH JUSTICE FAILED,,Magazine Desk,NORTHERN IRELAND,215,"LEAD: Arguably, the best criticism of the death penalty I have ever heard came from someone who is for it. In Kevin Toolis's excellent article ''When British Justice Failed'' (Feb. 25), Justice Donaldson is quoted as telling the three men among the...",The New York Times,,http://www.nytimes.com/1990/03/18/magazine/l-when-british-justice-failed-841890.html,Magazine; Opinion,3/18/1990,Letter,4fd1aefa8eb7c8105d6ceea8
Give Iran Credit for the Strides It Has Taken,,Editorial Desk,IRAN,569,LEAD: To the Editor:,The New York Times,"POLITICS AND GOVERNMENT, FREEDOM AND HUMAN RIGHTS",http://www.nytimes.com/1990/03/24/opinion/l-give-iran-credit-for-the-strides-it-has-taken-331790.html,Opinion,3/24/1990,Letter,4fd1ab828eb7c8105d6c9c94
Still A Long List,,Editorial Desk,IRAQ,810,"LEAD: The official murder of a British freelance journalist, Farzad Bazoft, in Baghdad put the spotlight on Iraq for a few days. It should stay there. Torture, summary execution, flagrant violation of the most basic human rights have not been wiped...",The New York Times,"POLITICS AND GOVERNMENT, FREEDOM AND HUMAN RIGHTS, TORTURE",http://www.nytimes.com/1990/03/24/opinion/foreign-affairs-still-a-long-list.html,Opinion,3/24/1990,Op-Ed,4fd1aef78eb7c8105d6cecf5
Human Rights Abuses Raising Little Alarm in Peru,,Foreign Desk,PER,634,LEAD: International organizations increasingly rank this strife-torn Andean nation among the world's violators of human rights.,The New York Times,"ARMAMENT, DEFENSE AND MILITARY FORCES, PUBLIC OPINION, CIVIL WAR AND GUERRILLA WARFARE, BRUTALITY AND HARASSMENT CHARGES, FREEDOM AND HUMAN RIGHTS, TORTURE",http://www.nytimes.com/1990/03/25/world/human-rights-abuses-raising-little-alarm-in-peru.html,World,3/25/1990,News,4fd1b8a38eb7c8105d6e099b
Liberian President Leads the Good Life While His Country Grows Poorer,,Foreign Desk,LIBERIA,1406,LEAD: The delivery of a new luxury plane for the personal use of the Liberian President made front-page headlines in January in this impoverished West African country.,The New York Times,"u""COUPS DETAT AND ATTEMPTED COUPS DETAT"", CIVIL WAR AND GUERRILLA WARFARE, ETHICS",http://www.nytimes.com/1990/03/26/world/liberian-president-leads-the-good-life-while-his-country-grows-poorer.html,World,3/26/1990,News,4fd1b8998eb7c8105d6e016c
U.S. Debates Aiding Burmese in Drug Fight,,Foreign Desk,"MYANMAR, UNITED STATES",587,"LEAD: With nearly half the world's opium now being grown in Myanmar, formerly Burma, and increasing amounts of Southeast Asian heroin going to the United States, a squabble has broken out between the State Department and the Drug Enforcement...",The New York Times,"OPIUM, FOREIGN AID, DRUG ABUSE AND TRAFFIC",http://www.nytimes.com/1990/04/01/world/us-debates-aiding-burmese-in-drug-fight.html,World,4/1/1990,News,4fd1aef68eb7c8105d6cec85
TROUBLE IN DAMASCUS,,Magazine Desk,"SYRIA, MIDDLE EAST, ISRAEL, UNION OF SOVIET SOCIALIST REPUBLICS (USSR)",4890,"LEAD: SYRIA'S NORTH-SOUTH HIGHWAY SLIDES by the town of Hama as if skirting a guilty secret. Yet according to the man who runs the Ministry of Tourism office, there is much to see there. He has marked out the points of interest on a small photocopied...",The New York Times,"INTERNATIONAL RELATIONS, POLITICS AND GOVERNMENT, ECONOMIC CONDITIONS AND TRENDS",http://www.nytimes.com/1990/04/01/magazine/trouble-in-damascus.html,Magazine,4/1/1990,News,4fd19b628eb7c8105d6abee1
The Burmese Are Going to Vote; the Army Tells Them To,,Week in Review Desk,"JAPAN, MYANMAR",1050,"LEAD: THEY'RE going to hold an election in Myanmar, formerly Burma, but the guest list is a short one. Even some of the candidates aren't invited.",The New York Times,"ARMAMENT, DEFENSE AND MILITARY FORCES, INTERNATIONAL TRADE AND WORLD MARKET, POLITICS AND GOVERNMENT, ELECTIONS, FOREIGN AID",http://www.nytimes.com/1990/04/01/weekinreview/the-world-the-burmese-are-going-to-vote-the-army-tells-them-to.html,Week in Review,4/1/1990,News,4fd1b89a8eb7c8105d6e01e3
Starving Children of Malawi Kill Leader's Boast of Plenty,,Foreign Desk,MALAWI,884,"LEAD: For the 26 years of his authoritarian rule in Malawi, President H. Kamuzu Banda has insisted that human rights, white power in a black state and coziness with South Africa are minor matters compared with the full stomachs of his people. Now, as...",The New York Times,"DIET AND NUTRITION, POLITICAL PRISONERS, CHILDREN AND YOUTH, POLITICS AND GOVERNMENT, FOOD",http://www.nytimes.com/1990/04/03/world/starving-children-of-malawi-kill-leader-s-boast-of-plenty.html,World; Health,4/3/1990,News,4fd19e588eb7c8105d6b1406
Our 'Open Doormat',,Editorial Desk,CHINA,775,"LEAD: In the Shanghai Communique of 1972, the United States and China - whose leaders could never have agreed on a credible ''joint'' communique - used an ingenious method of making parallel but often contrary statements that broke new ground without...",The New York Times,"UNITED STATES INTERNATIONAL RELATIONS, CHINA-INTERNATIONAL RELATIONS-US, FREEDOM AND HUMAN RIGHTS",http://www.nytimes.com/1990/04/06/opinion/essay-our-open-doormat.html,Opinion,4/6/1990,Op-Ed,4fd191b48eb7c8105d69a0cc
The Editorial Notebook;   The Guns of Managua,,Editorial Desk,NICARAGUA,581,"LEAD: Nicaragua is locked in civil war. Washington is deeply involved. Rebels remain in the hills, refusing to disarm. Power in Managua is fiercely contested, as is the wisdom of U.S. involvement.",The New York Times,"UNITED STATES INTERNATIONAL RELATIONS, CIVIL WAR AND GUERRILLA WARFARE",http://www.nytimes.com/1990/04/09/opinion/the-editorial-notebook-the-guns-of-managua.html,Opinion,4/9/1990,Editorial,4fd1934b8eb7c8105d69d6eb
Panama Journal;   Trafficking in People: Was It One More Racket?,,Foreign Desk,"PANAMA, CHINA",948,"LEAD: No sooner do the doors of Panama's Department of Immigration and Naturalization open for business than the waiting room fills to overflowing with dozens of anxious Chinese, accompanied by lawyers or interpreters and talking nervously among...",The New York Times,"INTERNATIONAL RELATIONS, CITIZENSHIP, IMMIGRATION AND EMIGRATION, VISAS",http://www.nytimes.com/1990/04/10/world/panama-journal-trafficking-in-people-was-it-one-more-racket.html,World,4/10/1990,News,4fd192728eb7c8105d69b75e
Nepal's King Invites Head of Opposition To Engage in Talks,,Foreign Desk,NEPAL,425,"LEAD: In an effort to end a four-day political stalemate, King Birendra invited the leader of Nepal's opposition to join him in direct talks today, apparently on the formation of a new transitional government.",The New York Times,"POLITICS AND GOVERNMENT, DEMONSTRATIONS AND RIOTS",http://www.nytimes.com/1990/04/13/world/nepal-s-king-invites-head-of-opposition-to-engage-in-talks.html,World,4/13/1990,News,4fd1b8a28eb7c8105d6e085d
Campus Life: Smith;   Student Senate Approves Group Opposing Abortion,,Style Desk,,592,"LEAD: A new support group for abortion opponents was granted a charter last week by the Student Senate at Smith College. But the Senate then voted to deny the group financing from student activities fees, agreeing with opposition arguments that it...",The New York Times,ABORTION,http://www.nytimes.com/1990/04/15/style/campus-life-smith-student-senate-approves-group-opposing-abortion.html,Style,4/15/1990,News,4fd1aefb8eb7c8105d6cef50
Sadists in Their Midst,,Book Review Desk,,696,"LEAD:    A MIRACLE, A UNIVERSE    Settling Accounts With Torturers.    By Lawrence Weschler.    293 pp. New York: Pantheon Books. $22.95.",The New York Times,BOOK REVIEWS,http://www.nytimes.com/1990/04/15/books/sadists-in-their-midst.html,Arts; Books,4/15/1990,Review,4fd193468eb7c8105d69d2b0
HAILS A NEW ERA,,Foreign Desk,NICARAGUA,1602,"LEAD: Ending more than a decade of rule by the Sandinista National Liberation Front, Violeta Barrios de Chamorro was inaugurated today as Nicaragua's President. In a gesture of reconciliation, she then retained the top Sandinista military leader as...",The New York Times,"ARMAMENT, DEFENSE AND MILITARY FORCES, DRAFT AND RECRUITMENT, MILITARY, CIVIL WAR AND GUERRILLA WARFARE, AMNESTIES",http://www.nytimes.com/1990/04/26/world/chamorro-takes-nicaragua-helm-hails-a-new-era.html,World; Front Page,4/26/1990,News,4fd1b89e8eb7c8105d6e04eb
Review/Television;   Jennings Says U.S. Helps Khmer Rouge,,Cultural Desk,,773,"LEAD: ''From the Killing Fields,'' tonight's report by Peter Jennings at 10 P.M. on ABC, makes the argument that the United States is covertly supporting the return to power in Cambodia of the Khmer Rouge. That is a heavy accusation, given the death...",The New York Times,"REVIEWS, TELEVISION",http://www.nytimes.com/1990/04/26/arts/review-television-jennings-says-us-helps-khmer-rouge.html,Arts,4/26/1990,Review,4fd1aefa8eb7c8105d6ceeb5
Death Sentence Fuels Japan's Soul-Searching,,Foreign Desk,JAPAN,719,LEAD: All of Japan was shocked 21 years ago when a teen-ager was arrested in four separate killings within a few months in different parts of the country. No one was surprised when the man was later convicted and sentenced to be hanged.,The New York Times,"SENTENCES (CRIMINAL), CAPITAL PUNISHMENT",http://www.nytimes.com/1990/04/26/world/death-sentence-fuels-japan-s-soul-searching.html,World,4/26/1990,News,4fd1b99b8eb7c8105d6e2578
Burmese Rights Abuses Are Said to Continue,,Foreign Desk,MYANMAR,409,"LEAD: Amnesty International has charged in a report that ''severe human rights violations'' have continued to be frequent in Myanmar, formerly Burma, under the current military Government.",The New York Times,"ARMAMENT, DEFENSE AND MILITARY FORCES, FREEDOM AND HUMAN RIGHTS",http://www.nytimes.com/1990/05/03/world/burmese-rights-abuses-are-said-to-continue.html,World,5/3/1990,News,4fd19f7e8eb7c8105d6b339f
EVEN THE MUSIC WAS RECYCLED,,Arts and Leisure Desk,CENTRAL PARK (NYC),974,"LEAD: Amid the Earth Day festivities in New York's Central Park, some of the most ingenious recycling took place in the music on stage. Many of the performers made the effort to do something more than flog their latest hits; they gave at least a...",The New York Times,"MUSIC, EARTH DAY",http://www.nytimes.com/1990/05/06/arts/pop-view-even-the-music-was-recycled.html,Arts,5/6/1990,News,4fd192b98eb7c8105d69c43b
Polls Bring Mitterrand Down to Earth,,Foreign Desk,FRANCE,674,"LEAD: Long skilled at playing the role of elder statesman who stands above the fray of daily politics, President Francois Mitterrand has seen his popularity tumble sharply as he prepares to begin his 10th year in office on Thursday.",The New York Times,"PUBLIC OPINION, POLITICS AND GOVERNMENT",http://www.nytimes.com/1990/05/08/world/polls-bring-mitterrand-down-to-earth.html,World,5/8/1990,News,4fd192af8eb7c8105d69bc70
"Sure, He Can Dress, But Can He Coach?",,Sports Desk,,2020,"LEAD: A 20th wedding anniversary is an appropriate occasion for reflection and self-evaluation, even if husband and wife are happily living the life styles of the semirich and somewhat famous.",The New York Times,"COACHES AND MANAGERS, BIOGRAPHICAL INFORMATION, BASKETBALL",http://www.nytimes.com/1990/05/13/sports/pro-basketball-sure-he-can-dress-but-can-he-coach.html,Sports,5/13/1990,News,4fd1975b8eb7c8105d6a5a0e
War of Quick but Brutal Clashes Unfolds in Liberia,,Foreign Desk,LIBERIA,1009,"LEAD: A week later, the evidence is still here. Lying in two shallow ditches behind the village are 15 bodies, swollen and decaying in the sweltering heat of the West African sun.",The New York Times,CIVIL WAR AND GUERRILLA WARFARE,http://www.nytimes.com/1990/05/18/world/war-of-quick-but-brutal-clashes-unfolds-in-liberia.html,World,5/18/1990,News,4fd192b58eb7c8105d69c07f
Louisiana Executes Man Who Killed at Age 17,,National Desk,LOUISIANA,479,LEAD: Dalton Prejean was executed in the Louisiana electric chair early today despite protests that he was dying for a crime he committed as a brain-damaged teen-ager.,The New York Times,"MURDERS AND ATTEMPTED MURDERS, MENTAL RETARDATION, CAPITAL PUNISHMENT",http://www.nytimes.com/1990/05/19/us/louisiana-executes-man-who-killed-at-age-17.html,U.S.,5/19/1990,News,4fd1b9ee8eb7c8105d6e2d7f
"A Writer Moves Up, This Time in Hungary",,Cultural Desk,,1328,"LEAD: He is a playwright. He became the symbol of his nation's resistance to Soviet domination. He spent years in jail. The head of his country's writers' union, he was recently voted President of a newly non-Communist nation in Eastern Europe.",The New York Times,TERMS NOT AVAILABLE,http://www.nytimes.com/1990/05/19/arts/a-writer-moves-up-this-time-in-hungary.html,Arts,5/19/1990,News,4fd195a78eb7c8105d6a2035
Drug War at Stake in Colombia Vote,,Foreign Desk,COLOMBIA,680,"LEAD: When Colombians vote for president on Sunday, their ballots will constitute a referendum on the nation's nine-month war with cocaine traffickers.",The New York Times,"ELECTION ISSUES, ELECTIONS, COCAINE, DRUG ABUSE AND TRAFFIC",http://www.nytimes.com/1990/05/26/world/drug-war-at-stake-in-colombia-vote.html,World,5/26/1990,News,4fd1b9a28eb7c8105d6e2afd
"Burmese Vote Today, or Do They?",,Foreign Desk,MYANMAR,889,"LEAD: The people of Myanmar, formerly Burma, vote on Sunday in the first multiparty election in almost 30 years, but Western diplomats based there and human-rights organizations say that the voting will not be free or fair and that the military will...",The New York Times,"DEMONSTRATIONS AND RIOTS, ELECTIONS, LEGISLATURES, FREEDOM AND HUMAN RIGHTS",http://www.nytimes.com/1990/05/27/world/burmese-vote-today-or-do-they.html,World,5/27/1990,News,4fd1b9f08eb7c8105d6e2f0d
NEWS SUMMARY,,Metropolitan Desk,,752,LEAD:          International,The New York Times,NO INDEX TERMS,http://www.nytimes.com/1990/06/03/nyregion/news-summary-592390.html,New York and Region,6/3/1990,Summary,4fd1b99e8eb7c8105d6e277b
Now Tries to Be Then in Land of Thunder Dragon,,Foreign Desk,BHUTAN,1293,"LEAD: In a country like no other in South Asia, a country where icy peaks glitter in an unpolluted sky and protected pine forests still cover the mountain slopes, where rhododendrons bloom in the glens, a 34-year-old King armed with modern technology...",The New York Times,"SOCIAL CONDITIONS AND TRENDS, NYTRAVEL",http://www.nytimes.com/1990/06/03/world/now-tries-to-be-then-in-land-of-thunder-dragon.html,World,6/3/1990,News,4fd1937e8eb7c8105d69db31
U.S. Rights Groups Fault U.N. Panel's Growth,,Foreign Desk,,543,LEAD: American human-rights monitoring organizations are warning that the main United Nations group charged with enforcing respect for human rights in the world is likely to become less effective as a result of last month's decision to increase its...,The New York Times,"THIRD WORLD AND DEVELOPING COUNTRIES, FREEDOM AND HUMAN RIGHTS",http://www.nytimes.com/1990/06/10/world/us-rights-groups-fault-un-panel-s-growth.html,World,6/10/1990,News,4fd195a98eb7c8105d6a221c
Dunleavy Replaces Riley as Coach of Lakers,,Sports Desk,,644,"LEAD: Pat Riley, who coached the Los Angeles Lakers to four National Basketball Association championships in the 1980's, resigned today and was replaced by Mike Dunleavy, an assistant coach with the Milwaukee Bucks.",The New York Times,"SUSPENSIONS, DISMISSALS AND RESIGNATIONS, COACHES AND MANAGERS, BASKETBALL",http://www.nytimes.com/1990/06/12/sports/dunleavy-replaces-riley-as-coach-of-lakers.html,Sports,6/12/1990,News,4fd1975c8eb7c8105d6a5a5a
Nepal Grants Amnesty For Conversion Efforts,,Foreign Desk,NEPAL,193,"LEAD: Acting on the recommendation of Nepal's new Prime Minister and his center-left Cabinet, King Birendra decreed a blanket amnesty today for all people who have been jailed or are awaiting trial on charges of encouraging the religious conversion...",The New York Times,"FREEDOM OF RELIGION, POLITICS AND GOVERNMENT, AMNESTIES",http://www.nytimes.com/1990/06/13/world/nepal-grants-amnesty-for-conversion-efforts.html,World,6/13/1990,News,4fd19f7d8eb7c8105d6b335d
A London Group Helps Heal Torture Victims,,Foreign Desk,,706,LEAD: Efiler Ocak needed someone to bear witness.,The New York Times,TORTURE,http://www.nytimes.com/1990/06/17/world/a-london-group-helps-heal-torture-victims.html,World,6/17/1990,News,4fd1b99b8eb7c8105d6e254b
Brazil Police Accused of Torture and Killing in Rights Report,,Foreign Desk,BRAZIL,612,"LEAD: Amnesty International asserted today that five years after the end of military rule, the police in Brazil continue to routinely torture and sometimes kill prisoners.",The New York Times,"POLICE, TORTURE",http://www.nytimes.com/1990/06/19/world/brazil-police-accused-of-torture-and-killing-in-rights-report.html,World,6/19/1990,News,4fd19f828eb7c8105d6b3655
Somalis Say 40 Are Arrested For Criticizing Government,,Foreign Desk,SOMALIA,143,LEAD: Somali authorities have arrested more than 40 people for distributing what the Mogadishu Government says are seditious pamphlets criticizing President Mohammed Siad Barre's rule.,The New York Times,"POLITICAL PRISONERS, POLITICS AND GOVERNMENT, DEMONSTRATIONS AND RIOTS",http://www.nytimes.com/1990/06/20/world/somalis-say-40-are-arrested-for-criticizing-government.html,World,6/20/1990,News,4fd1937a8eb7c8105d69d82c
Immigration Laws Protested On Eve of AIDS Conference,,National Desk,SAN FRANCISCO (CALIF),426,"LEAD: On the eve of the Sixth International AIDS Conference here, about 500 demonstrators tonight protested Federal immigration laws that bar infected people from entering the United States or qualifying for permanent residency here.",The New York Times,"ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS), CONVENTIONS AND CONFERENCES, IMMIGRATION AND EMIGRATION, DEMONSTRATIONS AND RIOTS",http://www.nytimes.com/1990/06/20/us/immigration-laws-protested-on-eve-of-aids-conference.html,U.S.,6/20/1990,News,4fd197538eb7c8105d6a5352
"In Colombia, Political Murder Is Thriving",,Editorial Desk,COLOMBIA,275,LEAD: To the Editor:,The New York Times,"ASSASSINATIONS AND ATTEMPTED ASSASSINATIONS, POLITICS AND GOVERNMENT",http://www.nytimes.com/1990/06/21/opinion/l-in-colombia-political-murder-is-thriving-808090.html,Opinion,6/21/1990,Letter,4fd192b68eb7c8105d69c151
Review/Television;   3 Women in a High-Security Prison,,Cultural Desk,,657,LEAD: A case can be made that the three women celebrated in ''Through the Wire'' received excessive sentences - ranging from 35 to 58 years - for the crimes of which they were convicted and that they were subjected to undue punishment in the unusual...,The New York Times,"REVIEWS, TELEVISION, DOCUMENTARY FILMS AND PROGRAMS",http://www.nytimes.com/1990/06/25/movies/review-television-3-women-in-a-high-security-prison.html,Movies; Arts,6/25/1990,Review,4fd1af078eb7c8105d6cf53c
"Political Violence on the Rise Again in Guatemala, Tarnishing Civilian Rule",,Foreign Desk,GUATEMALA,1105,"LEAD: Five months before elections, this country is being swept by growing waves of political violence and human rights abuses.",The New York Times,"ASSASSINATIONS AND ATTEMPTED ASSASSINATIONS, ARMAMENT, DEFENSE AND MILITARY FORCES, VIOLENCE, MISSING PERSONS, ELECTIONS",http://www.nytimes.com/1990/06/28/world/political-violence-on-the-rise-again-in-guatemala-tarnishing-civilian-rule.html,World,6/28/1990,News,4fd1b99a8eb7c8105d6e249d
The World;   Will Mandela's Triumphs Abroad Enlarge His Power Back Home?,,Week in Review Desk,SOUTH AFRICA,957,"LEAD: WHEN Nelson Mandela's world tour ends on July 18, he will have received the praise of heads of state and badly needed hard cash for his African National Congress. But he is likely to find that his triumphs abroad will have only limited bearing...",The New York Times,INTERNATIONAL RELATIONS,http://www.nytimes.com/1990/07/01/weekinreview/the-world-will-mandela-s-triumphs-abroad-enlarge-his-power-back-home.html,Week in Review,7/1/1990,News,4fd19f788eb7c8105d6b2f6c
Rights Group Cites Abuses Around World,,Foreign Desk,,191,"LEAD: Using torture, murder and mass arrests, governments trampled the human rights of tens of thousands of people in 1989 to suppress conflicts stemming from ethnic or nationalist tensions, Amnesty International says.",The New York Times,"POLITICAL PRISONERS, FREEDOM AND HUMAN RIGHTS, TORTURE",http://www.nytimes.com/1990/07/11/world/rights-group-cites-abuses-around-world.html,World,7/11/1990,News,4fd1c10b8eb7c8105d6effe1
SALVADORAN FOES IN RIGHTS ACCORD,,Foreign Desk,EL SALVADOR,708,"LEAD: In their first formal accord after a decade of civil war marked by brutality against civilians, negotiators for the Salvadoran Government and leftist guerrillas agreed today to international verification of human rights.",The New York Times,"CIVIL WAR AND GUERRILLA WARFARE, FREEDOM AND HUMAN RIGHTS",http://www.nytimes.com/1990/07/27/world/salvadoran-foes-in-rights-accord.html,World,7/27/1990,News,4fd1a0cd8eb7c8105d6b5969
Rebel Group in Trinidad: Fierce Offshoot of Islam,,Foreign Desk,TRINIDAD AND TOBAGO,928,"LEAD: Caribbean scholars and experts on Islam in the West Indies say the militant Muslim group that staged a coup attempt in Trinidad last week is one of many new religious movements that have emerged in the region in recent years, challenging...",The New York Times,"u""COUPS DETAT AND ATTEMPTED COUPS DETAT"", POLITICS AND GOVERNMENT, ISLAM",http://www.nytimes.com/1990/07/31/world/rebel-group-in-trinidad-fierce-offshoot-of-islam.html,World,7/31/1990,News,4fd1975a8eb7c8105d6a5918
U.S. Helps Underwrite Guatemala Terror,,Editorial Desk,GUATEMALA,416,LEAD: To the Editor:,The New York Times,POLITICS AND GOVERNMENT,http://www.nytimes.com/1990/08/01/opinion/l-us-helps-underwrite-guatemala-terror-451390.html,Opinion,8/1/1990,Letter,4fd194638eb7c8105d69f956
40 ARE STILL HELD,,Foreign Desk,"TRINIDAD AND TOBAGO, CARIBBEAN AREA, PORT OF SPAIN (TRINIDAD), BARBADOS",1188,"LEAD: Gunmen from a militant Muslim group released the wounded Prime Minister of this Caribbean island nation today, but they continue to hold other members of the Government who were taken hostage four days ago.",The New York Times,"u""COUPS DETAT AND ATTEMPTED COUPS DETAT"", UNITED STATES INTERNATIONAL RELATIONS, ARMAMENT, DEFENSE AND MILITARY FORCES, LOOT AND LOOTING, HOSTAGES, SHORTAGES, POLITICS AND GOVERNMENT, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/1990/08/01/world/rebels-in-trinidad-set-premier-free-40-are-still-held.html,World; Front Page; Washington,8/1/1990,News,4fd1baf08eb7c8105d6e559b
NEWS SUMMARY,,Metropolitan Desk,,1164,"LEAD:    International    A2-10       Battle-hardened Iraqi troops stormed into the desert sheikdom of Kuwait, seizing control of its capital and its oilfields, driving its ruler into exile, plunging the Persian Gulf region into crisis and sending...",The New York Times,NO INDEX TERMS,http://www.nytimes.com/1990/08/03/nyregion/news-summary-223590.html,New York and Region,8/3/1990,Summary,4fd196818eb7c8105d6a3c75
Crackdown in a 'Freer' Korea Puzzles Opposition,,Foreign Desk,SOUTH KOREA,1175,"LEAD: Two years ago this summer Kim Keun Tae was out of jail for the first time in years, his release hailed as a harbinger that South Korea's new, more democratic Government was willing to tolerate dissent and end a decade of systematic repression.",The New York Times,"POLITICAL PRISONERS, POLITICS AND GOVERNMENT",http://www.nytimes.com/1990/08/03/world/crackdown-in-a-freer-korea-puzzles-opposition.html,World,8/3/1990,News,4fd197598eb7c8105d6a583f
Crime and the Commissioner: Pressure Mounts for Results,,Metropolitan Desk,,2043,"LEAD: Six months after taking office with a mandate from the Mayor to ''take back our streets and our parks, by night as well as by day,'' Police Commissioner Lee P. Brown, while well regarded, has yet to show that he can make a difference.",The New York Times,CRIME AND CRIMINALS,http://www.nytimes.com/1990/08/03/nyregion/crime-and-the-commissioner-pressure-mounts-for-results.html,New York and Region,8/3/1990,News,4fd195aa8eb7c8105d6a2272
Rights Group Says Baghdad Has Seized Exiles in Kuwait,,Foreign Desk,"IRAQ, KUWAIT, MIDDLE EAST",163,LEAD: Amnesty International said today that it had received reports that Iraqi forces in Kuwait had arrested hundreds of Iraqi exiles opposed to the Government of Saddam Hussein.,Reuters,"POLITICAL PRISONERS, REFUGEES AND EXPATRIATES",http://www.nytimes.com/1990/08/04/world/the-iraqi-invasion-rights-group-says-baghdad-has-seized-exiles-in-kuwait.html,World,8/4/1990,News,4fd1c1048eb7c8105d6efb38
NEWS SUMMARY,,Metropolitan Desk,,1147,LEAD:    International    A2-11,The New York Times,NO INDEX TERMS,http://www.nytimes.com/1990/08/07/nyregion/news-summary-211690.html,New York and Region,8/7/1990,Summary,4fd1baeb8eb7c8105d6e5178
Political Rivals Jockey in Phnom Penh,,Foreign Desk,,953,"LEAD: Asked several months ago about the position of Hun Sen, the young and highly visible Cambodian Prime Minister and Foreign Minister, a Cambodian official smiled broadly. ''Don't forget Hun Sen is only No. 3 in the party,'' he said. ''Chea Sim is...",The New York Times,TERMS NOT AVAILABLE,http://www.nytimes.com/1990/08/11/world/political-rivals-jockey-in-phnom-penh.html,World,8/11/1990,News,4fd1945b8eb7c8105d69f40d
Where Have All His Spies Gone?,,Magazine Desk,"WEST GERMANY, EAST GERMANY",5188,"LEAD: On Normannenstrasse in East Berlin, in the heart of an ordinary middle-class neighborhood, stands a massive office complex: 41 concrete buildings as grimly functional as the apartment towers that surround them. Nine months ago it was the...",The New York Times,"INTELLIGENCE SERVICES, GERMANY, REUNIFICATION OF",http://www.nytimes.com/1990/08/12/magazine/where-have-all-his-spies-gone.html,Magazine,8/12/1990,News,4fd1b9f18eb7c8105d6e3063
Mirage of Arab Unity,,Foreign Desk,"IRAQ, KUWAIT, MIDDLE EAST, SAUDI ARABIA",1189,"LEAD: The political map of the Arab world has been remade, or perhaps erased, overnight.",The New York Times,"INTERNATIONAL RELATIONS, ARMAMENT, DEFENSE AND MILITARY FORCES, UNITED STATES ARMAMENT AND DEFENSE",http://www.nytimes.com/1990/08/12/world/confrontation-in-the-gulf-mirage-of-arab-unity.html,World,8/12/1990,An Analysis; News Analysis,4fd196808eb7c8105d6a3b4b
Burmese Military Cracking Down Again <,,Foreign Desk,"MYANMAR, MANDALAY (MYANMAR)",711,"LEAD: The military Government of Myanmar has increased its forces in major cities after killing four demonstrators last week in Mandalay, Western diplomats in the capital, Yangon, said in telephone interviews Friday and today.",The New York Times,"ARMAMENT, DEFENSE AND MILITARY FORCES, DEMONSTRATIONS AND RIOTS, FREEDOM AND HUMAN RIGHTS",http://www.nytimes.com/1990/08/12/world/burmese-military-cracking-down-again.html,World,8/12/1990,News,4fd1b0958eb7c8105d6d1d5e
Know Your Allies,,Editorial Desk,"IRAQ, SYRIA, MIDDLE EAST",816,"LEAD: Americans have a pretty clear idea why the United States is fighting in the Arab Middle East, what rings true and what clunks like a counterfeit coin.",The New York Times,"UNITED STATES INTERNATIONAL RELATIONS, FREEDOM AND HUMAN RIGHTS, NEWS AND NEWS MEDIA",http://www.nytimes.com/1990/08/26/opinion/on-my-mind-know-your-allies.html,Opinion,8/26/1990,Op-Ed,4fd1975d8eb7c8105d6a5b76
Quebec Premier Asks Army To Remove Indian Barricades,,Foreign Desk,"CANADA, QUEBEC PROVINCE (CANADA)",538,LEAD: Premier Robert Bourassa of Quebec asked the Canadian Army today to tear down fortified Mohawk barricades in the province after talks with the Indians broke down.,Reuters,"POLITICS AND GOVERNMENT, MOHAWK INDIANS",http://www.nytimes.com/1990/08/28/world/quebec-premier-asks-army-to-remove-indian-barricades.html,World,8/28/1990,News,4fd194188eb7c8105d69ef26
New Evidence Prompts Stay of Arkansas Execution,,National Desk,"LITTLE ROCK (ARK), ARKANSAS",694,"LEAD: A Federal appeals court today stayed the execution of a retarded prison inmate after hearing new evidence that Sheriff Tommy F. Robinson, who is now a Congressman, tried to coerce the confessions of other inmates in the rape and murder of an...",The New York Times,"MURDERS AND ATTEMPTED MURDERS, SEX CRIMES, MENTAL RETARDATION, CAPITAL PUNISHMENT, CONFESSIONS",http://www.nytimes.com/1990/09/05/us/new-evidence-prompts-stay-of-arkansas-execution.html,U.S.,9/5/1990,News,4fd199108eb7c8105d6a8a7c
